technique,fraction,repeat,selection_seed,size,coverage_mean,coverage_max,stability_jaccard,classes,implementation,selection_seconds_total,selection_seconds_per_repeat,selection_cpu_seconds_total,rss_before_mb,rss_peak_mb,knn_backend,opf_scope,measurement_isolation
probcover_dinov2,0.1,2,43,89,0.1748,0.7087,0.378,"{'traffic_light': 43, 'regulatory': 108}",ProbCover; unlabeled delta at purity >= 0.95,136.86535966699012,17.108169958373765,612.2035500000001,170.671875,191.59375,not_applicable,not_applicable,dedicated_process
probcover_dinov2,0.1,3,44,89,0.1743,0.7087,0.378,"{'regulatory': 98, 'traffic_light': 42}",ProbCover; unlabeled delta at purity >= 0.95,136.86535966699012,17.108169958373765,612.2035500000001,170.671875,191.59375,not_applicable,not_applicable,dedicated_process
probcover_dinov2,0.1,4,45,89,0.1748,0.7054,0.378,"{'traffic_light': 38, 'regulatory': 105}",ProbCover; unlabeled delta at purity >= 0.95,136.86535966699012,17.108169958373765,612.2035500000001,170.671875,191.59375,not_applicable,not_applicable,dedicated_process
probcover_dinov2,0.1,5,46,89,0.174,0.7054,0.378,"{'regulatory': 103, 'traffic_light': 47}",ProbCover; unlabeled delta at purity >= 0.95,136.86535966699012,17.108169958373765,612.2035500000001,170.671875,191.59375,not_applicable,not_applicable,dedicated_process
probcover_dinov2,0.1,6,47,89,0.1758,0.7406,0.378,"{'traffic_light': 37, 'regulatory': 104}",ProbCover; unlabeled delta at purity >= 0.95,136.86535966699012,17.108169958373765,612.2035500000001,170.671875,191.59375,not_applicable,not_applicable,dedicated_process
probcover_dinov2,0.1,7,48,89,0.1762,0.7087,0.378,"{'traffic_light': 46, 'regulatory': 106}",ProbCover; unlabeled delta at purity >= 0.95,136.86535966699012,17.108169958373765,612.2035500000001,170.671875,191.59375,not_applicable,not_applicable,dedicated_process
probcover_dinov2,0.1,8,49,89,0.1746,0.7087,0.378,"{'traffic_light': 43, 'regulatory': 101}",ProbCover; unlabeled delta at purity >= 0.95,136.86535966699012,17.108169958373765,612.2035500000001,170.671875,191.59375,not_applicable,not_applicable,dedicated_process
freesel_dino,0.1,1,42,89,0.2059,0.5533,0.428,"{'regulatory': 96, 'traffic_light': 30}",FreeSel; FDS on local DINO patterns,14.091330166906118,1.7614162708632648,62.713294000000005,170.984375,181.390625,not_applicable,not_applicable,dedicated_process
freesel_dino,0.1,2,43,89,0.2136,0.496,0.428,"{'regulatory': 93, 'traffic_light': 28}",FreeSel; FDS on local DINO patterns,14.091330166906118,1.7614162708632648,62.713294000000005,170.984375,181.390625,not_applicable,not_applicable,dedicated_process
freesel_dino,0.1,3,44,89,0.2122,0.6314,0.428,"{'regulatory': 98, 'traffic_light': 30}",FreeSel; FDS on local DINO patterns,14.091330166906118,1.7614162708632648,62.713294000000005,170.984375,181.390625,not_applicable,not_applicable,dedicated_process
freesel_dino,0.1,4,45,89,0.2091,0.5751,0.428,"{'regulatory': 95, 'traffic_light': 28}",FreeSel; FDS on local DINO patterns,14.091330166906118,1.7614162708632648,62.713294000000005,170.984375,181.390625,not_applicable,not_applicable,dedicated_process
freesel_dino,0.1,5,46,89,0.2169,0.5295,0.428,"{'regulatory': 91, 'traffic_light': 30}",FreeSel; FDS on local DINO patterns,14.091330166906118,1.7614162708632648,62.713294000000005,170.984375,181.390625,not_applicable,not_applicable,dedicated_process
freesel_dino,0.1,6,47,89,0.2154,0.6583,0.428,"{'regulatory': 101, 'traffic_light': 25}",FreeSel; FDS on local DINO patterns,14.091330166906118,1.7614162708632648,62.713294000000005,170.984375,181.390625,not_applicable,not_applicable,dedicated_process
freesel_dino,0.1,7,48,89,0.2077,0.6583,0.428,"{'regulatory': 96, 'traffic_light': 31}",FreeSel; FDS on local DINO patterns,14.091330166906118,1.7614162708632648,62.713294000000005,170.984375,181.390625,not_applicable,not_applicable,dedicated_process
freesel_dino,0.1,8,49,89,0.2051,0.6378,0.428,"{'regulatory': 95, 'traffic_light': 32}",FreeSel; FDS on local DINO patterns,14.091330166906118,1.7614162708632648,62.713294000000005,170.984375,181.390625,not_applicable,not_applicable,dedicated_process
random,0.2,1,42,178,0.155,0.7173,0.114,"{'regulatory': 197, 'traffic_light': 93}",random sampling control,0.0014393329620361328,0.0001799166202545166,0.0015600000000000058,170.9375,171.109375,not_applicable,not_applicable,dedicated_process
random,0.2,2,43,178,0.1519,0.6868,0.114,"{'regulatory': 221, 'traffic_light': 59}",random sampling control,0.0014393329620361328,0.0001799166202545166,0.0015600000000000058,170.9375,171.109375,not_applicable,not_applicable,dedicated_process
random,0.2,3,44,178,0.1559,0.876,0.114,"{'regulatory': 198, 'traffic_light': 89}",random sampling control,0.0014393329620361328,0.0001799166202545166,0.0015600000000000058,170.9375,171.109375,not_applicable,not_applicable,dedicated_process
random,0.2,4,45,178,0.1593,0.6951,0.114,"{'regulatory': 203, 'traffic_light': 82}",random sampling control,0.0014393329620361328,0.0001799166202545166,0.0015600000000000058,170.9375,171.109375,not_applicable,not_applicable,dedicated_process
random,0.2,5,46,178,0.1578,0.6378,0.114,"{'regulatory': 217, 'traffic_light': 69}",random sampling control,0.0014393329620361328,0.0001799166202545166,0.0015600000000000058,170.9375,171.109375,not_applicable,not_applicable,dedicated_process
random,0.2,6,47,178,0.1563,0.7731,0.114,"{'regulatory': 216, 'traffic_light': 67}",random sampling control,0.0014393329620361328,0.0001799166202545166,0.0015600000000000058,170.9375,171.109375,not_applicable,not_applicable,dedicated_process
random,0.2,7,48,178,0.1555,0.8531,0.114,"{'traffic_light': 72, 'regulatory': 194}",random sampling control,0.0014393329620361328,0.0001799166202545166,0.0015600000000000058,170.9375,171.109375,not_applicable,not_applicable,dedicated_process
random,0.2,8,49,178,0.1519,0.6868,0.114,"{'traffic_light': 86, 'regulatory': 199}",random sampling control,0.0014393329620361328,0.0001799166202545166,0.0015600000000000058,170.9375,171.109375,not_applicable,not_applicable,dedicated_process
kmeans_dinov2,0.2,1,42,178,0.1214,0.4408,0.404,"{'traffic_light': 104, 'regulatory': 193}",k-means + sample nearest to centroid on DINOv2 embeddings,623.959587667021,77.99494845837762,2830.8631149999997,170.9375,182.140625,not_applicable,not_applicable,dedicated_process
kmeans_dinov2,0.2,2,43,178,0.1216,0.3712,0.404,"{'regulatory': 196, 'traffic_light': 85}",k-means + sample nearest to centroid on DINOv2 embeddings,623.959587667021,77.99494845837762,2830.8631149999997,170.9375,182.140625,not_applicable,not_applicable,dedicated_process
kmeans_dinov2,0.2,3,44,178,0.1223,0.4408,0.404,"{'traffic_light': 88, 'regulatory': 203}",k-means + sample nearest to centroid on DINOv2 embeddings,623.959587667021,77.99494845837762,2830.8631149999997,170.9375,182.140625,not_applicable,not_applicable,dedicated_process
kmeans_dinov2,0.2,4,45,178,0.1214,0.3803,0.404,"{'regulatory': 192, 'traffic_light': 96}",k-means + sample nearest to centroid on DINOv2 embeddings,623.959587667021,77.99494845837762,2830.8631149999997,170.9375,182.140625,not_applicable,not_applicable,dedicated_process
kmeans_dinov2,0.2,5,46,178,0.1228,0.38,0.404,"{'regulatory': 204, 'traffic_light': 82}",k-means + sample nearest to centroid on DINOv2 embeddings,623.959587667021,77.99494845837762,2830.8631149999997,170.9375,182.140625,not_applicable,not_applicable,dedicated_process
kmeans_dinov2,0.2,6,47,178,0.1218,0.4353,0.404,"{'regulatory': 199, 'traffic_light': 94}",k-means + sample nearest to centroid on DINOv2 embeddings,623.959587667021,77.99494845837762,2830.8631149999997,170.9375,182.140625,not_applicable,not_applicable,dedicated_process
kmeans_dinov2,0.2,7,48,178,0.1226,0.4376,0.404,"{'regulatory': 200, 'traffic_light': 91}",k-means + sample nearest to centroid on DINOv2 embeddings,623.959587667021,77.99494845837762,2830.8631149999997,170.9375,182.140625,not_applicable,not_applicable,dedicated_process
kmeans_dinov2,0.2,8,49,178,0.1217,0.4092,0.404,"{'regulatory': 216, 'traffic_light': 84}",k-means + sample nearest to centroid on DINOv2 embeddings,623.959587667021,77.99494845837762,2830.8631149999997,170.9375,182.140625,not_applicable,not_applicable,dedicated_process
opf_dinov2,0.2,1,42,178,0.1798,0.7173,1.0,"{'regulatory': 223, 'traffic_light': 91}",OPF root + quota on the full pool,5.6608182499185205,5.6608182499185205,5.040353,170.53125,246.921875,not_applicable,full_pool,dedicated_process
typiclust_dinov2,0.2,1,42,178,0.1222,0.3804,0.382,"{'regulatory': 189, 'traffic_light': 86}",TypiClust,267.9854927499546,33.49818659374432,1154.321002,171.640625,182.359375,sklearn_cosine_knn,not_applicable,dedicated_process
typiclust_dinov2,0.2,2,43,178,0.1225,0.4092,0.382,"{'regulatory': 197, 'traffic_light': 85}",TypiClust,267.9854927499546,33.49818659374432,1154.321002,171.640625,182.359375,sklearn_cosine_knn,not_applicable,dedicated_process
typiclust_dinov2,0.2,3,44,178,0.1223,0.4408,0.382,"{'traffic_light': 88, 'regulatory': 203}",TypiClust,267.9854927499546,33.49818659374432,1154.321002,171.640625,182.359375,sklearn_cosine_knn,not_applicable,dedicated_process
typiclust_dinov2,0.2,4,45,178,0.1225,0.38,0.382,"{'regulatory': 196, 'traffic_light': 89}",TypiClust,267.9854927499546,33.49818659374432,1154.321002,171.640625,182.359375,sklearn_cosine_knn,not_applicable,dedicated_process
typiclust_dinov2,0.2,5,46,178,0.1228,0.38,0.382,"{'regulatory': 202, 'traffic_light': 83}",TypiClust,267.9854927499546,33.49818659374432,1154.321002,171.640625,182.359375,sklearn_cosine_knn,not_applicable,dedicated_process
typiclust_dinov2,0.2,6,47,178,0.1219,0.4353,0.382,"{'regulatory': 199, 'traffic_light': 94}",TypiClust,267.9854927499546,33.49818659374432,1154.321002,171.640625,182.359375,sklearn_cosine_knn,not_applicable,dedicated_process
typiclust_dinov2,0.2,7,48,178,0.1226,0.4376,0.382,"{'regulatory': 200, 'traffic_light': 91}",TypiClust,267.9854927499546,33.49818659374432,1154.321002,171.640625,182.359375,sklearn_cosine_knn,not_applicable,dedicated_process
typiclust_dinov2,0.2,8,49,178,0.1224,0.478,0.382,"{'regulatory': 189, 'traffic_light': 90}",TypiClust,267.9854927499546,33.49818659374432,1154.321002,171.640625,182.359375,sklearn_cosine_knn,not_applicable,dedicated_process
probcover_dinov2,0.2,1,42,178,0.1322,0.4195,0.38,"{'regulatory': 193, 'traffic_light': 94}",ProbCover; unlabeled delta at purity >= 0.95,317.876577709103,39.734572213637875,1320.5258330000001,170.734375,187.015625,not_applicable,not_applicable,dedicated_process
probcover_dinov2,0.2,2,43,178,0.134,0.6951,0.38,"{'traffic_light': 95, 'regulatory': 199}",ProbCover; unlabeled delta at purity >= 0.95,317.876577709103,39.734572213637875,1320.5258330000001,170.734375,187.015625,not_applicable,not_applicable,dedicated_process
probcover_dinov2,0.2,3,44,178,0.1335,0.4837,0.38,"{'regulatory': 193, 'traffic_light': 92}",ProbCover; unlabeled delta at purity >= 0.95,317.876577709103,39.734572213637875,1320.5258330000001,170.734375,187.015625,not_applicable,not_applicable,dedicated_process
